Angle,Response (normalised)
46.35,0.073332461
46.8,0.07675255
47.25,0.075431598
47.7,0.072776615
48.15,0.070017002
48.6,0.070644782
49.05,0.069487314
49.5,0.064301596
49.95,0.063765368
50.4,0.065073241
50.85,0.061790479
51.3,0.054682187
51.75,0.053622809
52.2,0.053138896
52.65,0.053805912
53.1,0.051203244
53.55,0.051804865
54,0.054034789
54.45,0.051883338
54.9,0.04937876
55.35,0.0508305
55.8,0.052321475
56.25,0.052511117
56.7,0.049313366
57.15,0.049208737
57.6,0.050026157
58.05,0.047534659
58.5,0.044925451
58.95,0.046259482
59.4,0.046141773
59.85,0.041897724
60.3,0.041498823
60.75,0.041596913
61.2,0.045265498
61.65,0.043212137
62.1,0.042656291
62.55,0.042898247
63,0.044644258
63.45,0.041551138
63.9,0.0373921
64.35,0.039066178
64.8,0.042185456
65.25,0.040936437
65.7,0.038000262
66.15,0.037751766
66.6,0.037634057
67.05,0.038268376
67.5,0.0353322
67.95,0.03635888
68.4,0.042100445
68.85,0.042630133
69.3,0.037562124
69.75,0.037836777
70.2,0.037529427
70.65,0.03967434
71.1,0.037215538
71.55,0.035528381
72,0.039170808
72.45,0.038026419
72.9,0.034717499
73.35,0.0353322
73.8,0.037575203
74.25,0.037038975
74.7,0.036071148
75.15,0.033272299
75.6,0.036332723
76.05,0.037320167
76.5,0.033004185
76.95,0.033036882
77.4,0.034312059
77.85,0.032474496
78.3,0.030100706
78.75,0.030950824
79.2,0.032324091
79.65,0.03182056
80.1,0.029074026
80.55,0.028315459
81,0.029074026
81.45,0.029486006
81.9,0.030100706
82.35,0.029832592
82.8,0.034965995
83.25,0.033926236
83.7,0.03057808
84.15,0.030329584
84.6,0.030545383
85.05,0.030349202
85.5,0.028040806
85.95,0.028570494
86.4,0.028236987
86.85,0.030453832
87.3,0.025163484
87.75,0.024404918
88.2,0.026628302
88.65,0.025941669
89.1,0.02603322
89.55,0.025457756
