Wavelength (nm),Raw count,Irradiance (W/m^2/nm),,W/m^2,Total Power
250.093,27.786,0.0004964482336956522,4.964482336956521e-06,1.3201020176631426e-06,0.000713687467483351
250.347,29.386,0.0005430021739130435,5.4300217391304345e-06,1.3603441073369067e-06,0.000713687467483351
250.601,29.786,0.0005281349184782609,5.281349184782609e-06,1.2120236372282164e-06,0.000713687467483351
250.855,23.586,0.000426214402173913,4.26214402173913e-06,1.069469588315298e-06,0.000713687467483351
251.109,21.786,0.00041588763586956527,4.158876358695652e-06,1.0118363498640933e-06,0.000713687467483351
251.363,20.385,0.0003808338994565218,3.8083389945652177e-06,9.421570923912699e-07,0.000713687467483351
251.617,19.185,0.0003610220788043478,3.6102207880434784e-06,9.294143682066087e-07,0.000713687467483351
251.872,19.985,0.0003679303668478261,3.6793036684782605e-06,1.0848927547553947e-06,0.000713687467483351
252.126,25.385,0.00048631589673913046,4.863158967391304e-06,1.1513335122282185e-06,0.000713687467483351
252.38,21.185,0.00042024592391304343,4.202459239130434e-06,9.346087024456177e-07,0.000713687467483351
252.634,15.185,0.0003156664402173913,3.1566644021739124e-06,6.566956895380927e-07,0.000713687467483351
252.888,9.785,0.00020141677989130434,2.014167798913043e-06,3.00242839673902e-07,0.000713687467483351
253.142,1.585,3.4994904891304354e-05,3.499490489130435e-07,6.534469225543238e-08,0.000713687467483351
253.396,0.784,1.6457608695652173e-05,1.645760869565217e-07,-1.8803592391305766e-08,0.000713687467483351
253.65,-1.416,-3.126358695652174e-05,-3.126358695652174e-07,1.3359157608695167e-08,0.000713687467483351
253.904,1.984,4.178260869565218e-05,4.1782608695652177e-07,4.244017663043403e-07,0.000713687467483351
254.159,12.984,0.0002910815217391304,2.9108152173913044e-06,9.426002119565927e-07,0.000713687467483351
254.413,20.184,0.00045112336956521746,4.511233695652175e-06,1.1731907989130004e-06,0.000713687467483351
254.667,20.584,0.00047264891304347827,4.726489130434783e-06,1.268570951086934e-06,0.000713687467483351
254.922,23.584,0.000522308695652174,5.223086956521739e-06,1.3765143478260366e-06,0.000713687467483351
255.176,24.384,0.0005615608695652175,5.615608695652175e-06,1.4378528396740476e-06,0.000713687467483351
255.431,24.584,0.0005661668478260869,5.661668478260869e-06,1.4352156976901647e-06,0.000713687467483351
255.685,23.383,0.0005639242527173913,5.639242527173913e-06,1.2380989286684326e-06,0.000713687467483351
255.939,17.383,0.0004109567934782608,4.109567934782608e-06,8.607346569294283e-07,0.000713687467483351
256.194,10.983,0.0002641292119565217,2.641292119565217e-06,6.036955353259972e-07,0.000713687467483351
256.448,8.783,0.00021122160326086955,2.1122160326086957e-06,4.629613308424261e-07,0.000713687467483351
256.702,6.183,0.0001533148777173913,1.5331487771739128e-06,4.705464588994481e-07,0.000713687467483351
256.957,8.583,0.00021574116847826086,2.157411684782609e-06,7.433515339674473e-07,0.000713687467483351
257.211,14.783,0.000369575,3.6957499999999997e-06,1.4315915387226131e-06,0.000713687467483351
257.465,29.583,0.0007576624320652174,7.576624320652173e-06,2.0351923318618304e-06,0.000713687467483351
257.72,33.182,0.000838566847826087,8.38566847826087e-06,2.234617283967059e-06,0.000713687467483351
257.974,35.582,0.0009209743206521739,9.209743206521739e-06,2.1177258627718982e-06,0.000713687467483351
258.228,29.382,0.0007465263586956521,7.4652635869565214e-06,1.7854594157608375e-06,0.000713687467483351
258.483,24.182,0.0006538339673913043,6.538339673913041e-06,1.0920305516305166e-06,0.000713687467483351
258.737,7.582,0.00020603260869565216,2.0603260869565212e-06,2.8290638926629923e-07,0.000713687467483351
258.992,0.582,1.5854755434782608e-05,1.5854755434782605e-07,-9.92970896738983e-08,0.000713687467483351
259.246,-3.418,-9.404144021739132e-05,-9.404144021739132e-07,-3.250095652174158e-08,0.000713687467483351
259.5,2.382,6.845013586956523e-05,6.845013586956523e-07,5.606067595108598e-08,0.000713687467483351
259.755,-0.819,-2.448097826086956e-05,-2.448097826086956e-07,2.954346990489353e-07,0.000713687467483351
260.009,8.781,0.00025710672554347827,2.571067255434783e-06,9.86908372282462e-07,0.000713687467483351
260.263,18.181,0.0005199864809782609,5.199864809782608e-06,1.5323883729619293e-06,0.000713687467483351
260.518,23.181,0.0006818867527173914,6.818867527173913e-06,2.0887796983697223e-06,0.000713687467483351
260.772,32.581,0.0009628216711956522,9.628216711956521e-06,3.2274774008154604e-06,0.000713687467483351
261.026,51.981,0.0015784991168478263,1.5784991168478263e-05,4.15646240828797e-06,0.000713687467483351
261.281,56.381,0.0016814713994565218,1.6814713994565218e-05,4.248211947011189e-06,0.000713687467483351
261.535,55.781,0.0016635773777173913,1.6635773777173912e-05,4.209651313178723e-06,0.000713687467483351
261.789,52.38,0.0016511086956521742,1.651108695652174e-05,4.09521858016297e-06,0.000713687467483351
262.044,48.78,0.0015608274456521737,1.5608274456521736e-05,3.6934585190220164e-06,0.000713687467483351
262.298,42.38,0.0013474076086956524,1.3474076086956522e-05,3.5264265285325456e-06,0.000713687467483351
262.553,42.18,0.0014184171195652175,1.4184171195652174e-05,3.5693488043480944e-06,0.000713687467483351
262.807,42.78,0.00139209375,1.39209375e-05,3.2238898233690863e-06,0.000713687467483351
263.061,34.58,0.0011464021739130434,1.1464021739130433e-05,2.292586854619524e-06,0.000713687467483351
263.316,19.38,0.0006517051630434783,6.517051630434783e-06,1.3649221467392333e-06,0.000713687467483351
263.57,12.58,0.0004230366847826087,4.230366847826087e-06,1.0507107737772529e-06,0.000713687467483351
