Wavelength (nm),Raw count,Irradiance (W/m^2/nm),,W/m^2,Total Power
250.093,-10.567,-0.0005034639492753623,-5.034639492753624e-06,-1.1254558242754472e-06,0.0005188625259606784
250.347,-7.767,-0.00038272173913043485,-3.827217391304349e-06,-1.2166717336956076e-06,0.0005188625259606784
250.601,-12.167,-0.0005752875,-5.752875e-06,-1.4385071431158894e-06,0.0005188625259606784
250.855,-11.567,-0.0005573952898550726,-5.573952898550725e-06,-1.222961454710237e-06,0.0005188625259606784
251.109,-7.967,-0.0004055664855072464,-4.055664855072464e-06,-7.660612391304067e-07,0.0005188625259606784
251.363,-3.967,-0.00019763134057971016,-1.9763134057971015e-06,-1.979046521739058e-07,0.0005188625259606784
251.617,0.833,4.180090579710145e-05,4.1800905797101447e-07,4.184134239130827e-07,0.0005188625259606784
251.872,5.833,0.0002863664855072464,2.863664855072464e-06,6.513004039854833e-07,0.0005188625259606784
252.126,4.433,0.00022646847826086956,2.2646847826086954e-06,5.048116557970829e-07,0.0005188625259606784
252.38,3.233,0.0001710210144927536,1.7102101449275361e-06,4.025656123188258e-07,0.0005188625259606784
252.634,2.633,0.00014595978260869565,1.4595978260869563e-06,-7.524059782609275e-09,0.0005188625259606784
252.888,-2.767,-0.00015188423913043477,-1.5188423913043477e-06,-9.232062536231545e-07,0.0005188625259606784
253.142,-9.767,-0.0005750498188405797,-5.750498188405797e-06,-1.4815465688405255e-06,0.0005188625259606784
253.396,-10.567,-0.0005915222826086957,-5.9152228260869565e-06,-1.9152331630436222e-06,0.0005188625259606784
253.65,-15.567,-0.0009165353260869566,-9.165353260869566e-06,-2.5167730344201974e-06,0.0005188625259606784
253.904,-18.967,-0.001065175724637681,-1.065175724637681e-05,-2.5903934782608235e-06,0.0005188625259606784
254.159,-16.167,-0.0009665054347826089,-9.66505434782609e-06,-1.5580169039856246e-06,0.0005188625259606784
254.413,-4.367,-0.0002602795289855073,-2.6027952898550726e-06,-3.1243587499998854e-07,0.0005188625259606784
254.667,0.233,1.4267028985507248e-05,1.4267028985507246e-07,4.122296739130361e-07,0.0005188625259606784
254.922,5.233,0.00030905036231884057,3.0905036231884055e-06,1.1282166938405383e-06,0.0005188625259606784
