Wavelength (nm),Raw count,Irradiance (W/m^2/nm),,W/m^2,Total Power
250.093,2.915,8.333097826086957e-05,8.333097826086957e-07,1.927535597826232e-07,0.00015598392257753797
250.347,2.315,6.844347826086957e-05,6.844347826086957e-07,-1.6834471195651558e-07,0.00015598392257753797
250.601,-7.085,-0.0002009983695652174,-2.009983695652174e-06,-8.826217010869242e-07,0.00015598392257753797
250.855,-17.085,-0.000493979347826087,-4.93979347826087e-06,-1.8486637663044872e-06,0.00015598392257753797
251.109,-31.485,-0.0009616614130434784,-9.616614130434783e-06,-2.5152053206520814e-06,0.00015598392257753797
251.363,-34.084,-0.0010188152173913043,-1.0188152173913044e-05,-2.390715365217304e-06,0.00015598392257753797
251.617,-28.684,-0.0008636378260869567,-8.636378260869567e-06,-1.7202288913045093e-06,0.00015598392257753797
251.872,-16.484,-0.00048556130434782615,-4.855613043478262e-06,-7.600745695651896e-07,0.00015598392257753797
252.126,-3.684,-0.00011292260869565218,-1.1292260869565218e-06,5.474583478260665e-08,0.00015598392257753797
252.38,4.916,0.0001560295652173913,1.5602956521739128e-06,6.592636260869322e-07,0.00015598392257753797
252.634,10.916,0.00036307565217391305,3.63075652173913e-06,8.256717260870185e-07,0.00015598392257753797
252.888,8.716,0.0002870595652173913,2.8705956521739124e-06,4.6847097391302623e-07,0.00015598392257753797
253.142,2.316,8.181521739130434e-05,8.181521739130434e-07,-2.7644034782607707e-08,0.00015598392257753797
253.396,-3.084,-0.00010358217391304348,-1.035821739130435e-06,-6.019049043478715e-07,0.00015598392257753797
253.65,-10.484,-0.00037035869565217393,-3.7035869565217394e-06,-1.2870262826086482e-06,0.00015598392257753797
253.904,-19.084,-0.0006430478260869565,-6.430478260869565e-06,-1.5280265217391031e-06,0.00015598392257753797
254.159,-15.484,-0.000555404347826087,-5.554043478260869e-06,-1.1270084913044325e-06,0.00015598392257753797
254.413,-9.284,-0.0003320039130434783,-3.3200391304347827e-06,-7.895021260869275e-07,0.00015598392257753797
254.667,-7.884,-0.0002896513043478261,-2.8965130434782608e-06,-5.176743913043386e-07,0.00015598392257753797
254.922,-3.284,-0.00011636782608695652,-1.1636782608695652e-06,-1.9684999999999144e-09,0.00015598392257753797
255.176,3.116,0.00011481782608695653,1.1481782608695653e-06,-7.845823369565927e-09,0.00015598392257753797
255.431,-3.283,-0.00012097141304347826,-1.2097141304347825e-06,-7.947717978260577e-07,0.00015598392257753797
255.685,-13.083,-0.000504833152173913,-5.04833152173913e-06,-1.5963001336955934e-06,0.00015598392257753797
255.939,-19.883,-0.0007520960869565217,-7.5209608695652165e-06,-2.474035777174144e-06,0.00015598392257753797
256.194,-30.883,-0.0011883241304347825,-1.1883241304347824e-05,-3.184492421738657e-06,0.00015598392257753797
256.448,-34.283,-0.0013191502173913042,-1.3191502173913043e-05,-3.1306158467393656e-06,0.00015598392257753797
256.702,-28.883,-0.0011459016304347825,-1.1459016304347824e-05,-2.9625740624999467e-06,0.00015598392257753797
256.957,-29.283,-0.0011776858695652175,-1.1776858695652173e-05,-3.11531745434806e-06,0.00015598392257753797
257.211,-31.883,-0.00127532,-1.2753199999999998e-05,-2.706457657608293e-06,0.00015598392257753797
257.465,-20.883,-0.0008557490217391304,-8.557490217391304e-06,-1.9511611875004e-06,0.00015598392257753797
257.72,-16.683,-0.0006745734782608695,-6.745734782608695e-06,-1.618435405434542e-06,0.00015598392257753797
257.974,-14.483,-0.0005997851086956522,-5.997851086956522e-06,-1.4062026684783666e-06,0.00015598392257753797
258.228,-12.483,-0.0005074610869565218,-5.074610869565218e-06,-1.2031670543478048e-06,0.00015598392257753797
258.483,-10.083,-0.00043619934782608696,-4.361993478260869e-06,-1.3978605630435834e-06,0.00015598392257753797
258.737,-15.283,-0.0006644782608695652,-6.644782608695652e-06,-2.0855511766303974e-06,0.00015598392257753797
258.992,-22.283,-0.0009712481521739132,-9.712481521739131e-06,-2.9152978380430452e-06,0.00015598392257753797
259.246,-30.082,-0.0013242619565217392,-1.3242619565217392e-05,-3.2515169478263318e-06,0.00015598392257753797
259.5,-26.882,-0.0012359876086956523,-1.2359876086956522e-05,-2.873623548912992e-06,0.00015598392257753797
259.755,-21.282,-0.0010178347826086955,-1.0178347826086955e-05,-2.475564341304534e-06,0.00015598392257753797
260.009,-19.882,-0.0009314284782608697,-9.314284782608696e-06,-2.1756568782605463e-06,0.00015598392257753797
260.263,-17.082,-0.0007816871739130435,-7.816871739130435e-06,-1.9977071413043117e-06,0.00015598392257753797
260.518,-16.682,-0.000785141956521739,-7.85141956521739e-06,-2.5152869043480147e-06,0.00015598392257753797
260.772,-25.282,-0.0011953989130434781,-1.195398913043478e-05,-3.3990616826089505e-06,0.00015598392257753797
261.026,-30.482,-0.001481027608695652,-1.4810276086956518e-05,-3.487298510869502e-06,0.00015598392257753797
261.281,-26.282,-0.0012541084782608696,-1.2541084782608694e-05,-3.0278727086958794e-06,0.00015598392257753797
261.535,-23.682,-0.0011300432608695652,-1.1300432608695652e-05,-2.8239341760865368e-06,0.00015598392257753797
261.789,-21.682,-0.001093526956521739,-1.093526956521739e-05,-1.9217950271738787e-06,0.00015598392257753797
262.044,-8.082,-0.0004137632608695652,-4.137632608695652e-06,-3.6280559347828817e-07,0.00015598392257753797
262.298,2.518,0.0001280895652173913,1.2808956521739128e-06,8.162541684782462e-07,0.00015598392257753797
262.553,9.518,0.0005121097826086957,5.121097826086957e-06,1.7954945260870916e-06,0.00015598392257753797
262.807,17.318,0.0009016654347826087,9.016654347826088e-06,2.163609823912722e-06,0.00015598392257753797
263.061,15.119,0.0008019643478260869,8.019643478260868e-06,1.483431595108669e-06,0.00015598392257753797
263.316,6.719,0.0003615114130434783,3.6151141304347826e-06,4.5358464130438194e-07,0.00015598392257753797
263.57,-0.081,-4.358152173913043e-06,-4.358152173913043e-08,-5.745173543478694e-07,0.00015598392257753797
263.824,-7.881,-0.0004480177173913044,-4.480177173913044e-06,-1.4727796630434519e-06,0.00015598392257753797
264.079,-12.681,-0.0007071035869565216,-7.071035869565216e-06,-1.3757566271740163e-06,0.00015598392257753797
264.333,-6.681,-0.000376169347826087,-3.7616934782608694e-06,-3.1063095652169294e-07,0.00015598392257753797
264.587,2.319,0.00013157804347826087,1.3157804347826088e-06,1.1551265788043273e-06,0.00015598392257753797
264.842,13.519,0.0007744035869565218,7.744035869565218e-06,2.125124958695812e-06,0.00015598392257753797
265.096,15.119,0.0008989231521739132,8.98923152173913e-06,1.4316613288043225e-06,0.00015598392257753797
265.351,3.719,0.00022394847826086956,2.2394847826086956e-06,3.389046076087211e-07,0.00015598392257753797
265.605,0.719,4.290554347826087e-05,4.2905543478260875e-07,-3.68207234782554e-07,0.00015598392257753797
265.859,-5.681,-0.00033283250000000004,-3.328325e-06,-2.2034640081521344e-06,0.00015598392257753797
266.114,-22.681,-0.0013953745652173913,-1.3953745652173912e-05,-4.309950960869889e-06,0.00015598392257753797
266.368,-32.481,-0.001998287608695652,-1.998287608695652e-05,-4.951841263043851e-06,0.00015598392257753797
266.622,-31.68,-0.0019008000000000002,-1.9008e-05,-4.516227391304267e-06,0.00015598392257753797
266.877,-26.08,-0.0016413391304347825,-1.6413391304347825e-05,-3.809144130434216e-06,0.00015598392257753797
267.131,-21.88,-0.001357986956521739,-1.3579869565217388e-05,-2.716966217391508e-06,0.00015598392257753797
267.385,-12.48,-0.0007813565217391304,-7.813565217391304e-06,-1.3017195652173678e-06,0.00015598392257753797
267.64,-3.68,-0.0002396,-2.3959999999999996e-06,-2.942369130435003e-07,0.00015598392257753797
267.894,0.12,7.917391304347827e-06,7.917391304347826e-08,-6.249890869565688e-07,0.00015598392257753797
268.148,-7.68,-0.0005000347826086956,-5.000347826086956e-06,-1.962402391304313e-06,0.00015598392257753797
268.403,-15.88,-0.001039104347826087,-1.039104347826087e-05,-2.498029260869194e-06,0.00015598392257753797
268.657,-13.88,-0.0009278478260869566,-9.278478260869565e-06,-2.206021630434743e-06,0.00015598392257753797
268.912,-11.68,-0.0008023652173913044,-8.023652173913043e-06,-1.7916055652175262e-06,0.00015598392257753797
269.166,-8.48,-0.0006083478260869566,-6.0834782608695655e-06,-1.4029910869566274e-06,0.00015598392257753797
269.42,-7.08,-0.0004963695652173913,-4.963695652173913e-06,-1.3230564130434545e-06,0.00015598392257753797
269.675,-7.88,-0.0005413217391304348,-5.413217391304348e-06,-2.3226643478257417e-06,0.00015598392257753797
269.929,-18.28,-0.0012875478260869566,-1.2875478260869565e-05,-3.267853565217637e-06,0.00015598392257753797
270.183,-18.48,-0.0012855652173913044,-1.2855652173913044e-05,-3.0783026249999453e-06,0.00015598392257753797
270.438,-15.879,-0.0011287897826086958,-1.1287897826086957e-05,-3.1900898086958922e-06,0.00015598392257753797
270.692,-18.879,-0.0013830919565217393,-1.3830919565217393e-05,-3.0939113282611023e-06,0.00015598392257753797
270.946,-14.679,-0.001053058695652174,-1.053058695652174e-05,-2.2543338749999597e-06,0.00015598392257753797
271.201,-9.479,-0.0007150463043478259,-7.150463043478259e-06,-2.558460002173532e-06,0.00015598392257753797
271.455,-17.079,-0.0012994891304347826,-1.2994891304347825e-05,-3.8996004326089885e-06,0.00015598392257753797
271.709,-23.079,-0.0017710623913043478,-1.7710623913043477e-05,-3.5297492201086325e-06,0.00015598392257753797
271.964,-13.279,-0.0009973683695652174,-9.973683695652174e-06,-2.404401409782789e-06,0.00015598392257753797
272.218,-11.479,-0.0008958610869565216,-8.958610869565215e-06,-1.965953127717356e-06,0.00015598392257753797
272.473,-8.479,-0.0006460629347826086,-6.460629347826085e-06,-9.719913249998553e-07,0.00015598392257753797
272.727,-1.479,-0.0001192845652173913,-1.192845652173913e-06,-5.692962739130862e-07,0.00015598392257753797
272.981,-4.079,-0.0003289802173913043,-3.289802173913043e-06,-1.4795942608695387e-06,0.00015598392257753797
273.236,-10.479,-0.0008314858695652173,-8.314858695652173e-06,-2.5900950119567167e-06,0.00015598392257753797
273.49,-15.079,-0.0012079590217391304,-1.2079590217391304e-05,-3.82048840543507e-06,0.00015598392257753797
273.744,-21.679,-0.0018002995652173913,-1.8002995652173912e-05,-4.019651478260798e-06,0.00015598392257753797
