Wavelength (nm),Raw count,Irradiance (W/m^2/nm),,W/m^2,Total Power
269.42,45.753,0.005346138586956522,5.346138586956521e-05,1.2531813546195428e-05,0.0004914153518133856
269.675,39.153,0.004482734782608696,4.482734782608696e-05,1.0367396521737592e-05,0.0004914153518133856
269.929,31.353,0.0036805695652173914,3.680569565217391e-05,8.99644624637749e-06,0.0004914153518133856
270.183,29.353,0.0034032463768115945,3.403246376811595e-05,8.4105023913042e-06,0.0004914153518133856
270.438,26.952,0.003193226086956522,3.193226086956521e-05,8.265826289855694e-06,0.0004914153518133856
270.692,27.152,0.003315298550724638,3.3152985507246377e-05,9.487444811594915e-06,0.0004914153518133856
270.946,34.752,0.004155130434782609,4.155130434782609e-05,1.0291423043478078e-05,0.0004914153518133856
271.201,31.152,0.003916573913043478,3.916573913043478e-05,8.605903760868285e-06,0.0004914153518133856
271.455,22.551,0.002859728260869565,2.8597282608695646e-05,7.782133445652758e-06,0.0004914153518133856
271.709,25.551,0.0032679358695652167,3.267935869565217e-05,8.723528519021582e-06,0.0004914153518133856
271.964,28.551,0.003574047282608695,3.5740472826086945e-05,7.999978248189006e-06,0.0004914153518133856
272.218,20.951,0.002725148188405797,2.725148188405797e-05,6.21903608695641e-06,0.0004914153518133856
272.473,16.95,0.0021525271739130433,2.152527173913043e-05,6.822304257245362e-06,0.0004914153518133856
272.727,23.95,0.0032193659420289857,3.219365942028985e-05,1.0055040942029741e-05,0.0004914153518133856
272.981,34.95,0.004697989130434783,4.697989130434783e-05,1.282707051630412e-05,0.0004914153518133856
273.236,40.549,0.005362458333333333,5.3624583333333325e-05,1.4974630509059096e-05,0.0004914153518133856
273.49,48.149,0.006428589311594203,6.428589311594203e-05,1.7787833737320178e-05,0.0004914153518133856
273.744,54.749,0.007577578985507247,7.577578985507246e-05,1.7716723233695335e-05,0.0004914153518133856
273.999,46.749,0.006317890217391305,6.317890217391305e-05,1.228782380072281e-05,0.0004914153518133856
274.253,24.548,0.003357561594202898,3.357561594202898e-05,6.10604772463814e-06,0.0004914153518133856
274.507,10.548,0.00145035,1.45035e-05,2.6596463043477783e-06,0.0004914153518133856
274.762,4.748,0.0006356471014492753,6.356471014492753e-06,2.3879036956523534e-06,0.0004914153518133856
275.016,9.148,0.0012445920289855072,1.2445920289855071e-05,6.492167418478146e-06,0.0004914153518133856
275.271,26.747,0.003847303985507247,3.847303985507247e-05,1.2658457195650292e-05,0.0004914153518133856
275.525,42.547,0.006119985144927536,6.119985144927535e-05,1.6716511893117196e-05,0.0004914153518133856
275.779,49.147,0.007042622644927537,7.042622644927537e-05,1.8081777445651854e-05,0.0004914153518133856
276.034,49.947,0.007139163586956522,7.139163586956522e-05,1.6324324849638906e-05,0.0004914153518133856
276.288,40.546,0.005714635507246377,5.7146355072463766e-05,1.1238338594201227e-05,0.0004914153518133856
276.542,20.746,0.0031344499999999996,3.134449999999999e-05,6.510596250001334e-06,0.0004914153518133856
276.797,13.146,0.0019719,1.9719e-05,5.225126489129657e-06,0.0004914153518133856
277.051,14.546,0.0021423728260869562,2.1423728260869562e-05,6.308986822464241e-06,0.0004914153518133856
277.305,18.745,0.0028253333333333333,2.825333333333333e-05,8.88000543478245e-06,0.0004914153518133856
277.56,26.945,0.0041393768115942035,4.1393768115942035e-05,1.1941964148551622e-05,0.0004914153518133856
277.814,34.345,0.005263744565217391,5.263744565217391e-05,1.4169096657606589e-05,0.0004914153518133856
278.068,39.145,0.00589302445652174,5.8930244565217395e-05,1.4637700095108433e-05,0.0004914153518133856
278.323,36.544,0.005587524637681159,5.587524637681158e-05,1.4278484840580782e-05,0.0004914153518133856
278.577,36.944,0.0056553768115942035,5.655376811594203e-05,1.4888866086956254e-05,0.0004914153518133856
278.832,38.744,0.006022165217391304,6.022165217391304e-05,1.609470447826208e-05,0.0004914153518133856
279.086,41.343,0.00665083043478261,6.65083043478261e-05,1.6280196260867147e-05,0.0004914153518133856
279.34,38.343,0.0061682217391304354,6.168221739130435e-05,1.4691938641307358e-05,0.0004914153518133856
279.595,33.743,0.0053548673913043476,5.354867391304347e-05,1.2995069085142993e-05,0.0004914153518133856
279.849,31.343,0.004877470471014492,4.877470471014492e-05,1.2020800088769017e-05,0.0004914153518133856
280.103,28.942,0.004587726449275362,4.5877264492753614e-05,1.1366257744565012e-05,0.0004914153518133856
280.358,27.142,0.004326985507246377,4.326985507246377e-05,1.1688329503624068e-05,0.0004914153518133856
280.612,29.942,0.004876423550724638,4.876423550724638e-05,1.2721904278983617e-05,0.0004914153518133856
280.866,31.742,0.005140823913043479,5.140823913043478e-05,1.3145551888586721e-05,0.0004914153518133856
281.121,31.741,0.00516941286231884,5.1694128623188404e-05,1.361466182246479e-05,0.0004914153518133856
281.375,33.341,0.005550793297101449,5.5507932971014486e-05,1.3239767485508241e-05,0.0004914153518133856
281.629,29.341,0.004874220471014493,4.874220471014493e-05,1.1594898274456314e-05,0.0004914153518133856
281.884,25.541,0.004219817391304348,4.2198173913043476e-05,1.180121087680984e-05,0.0004914153518133856
282.138,30.14,0.00507247463768116,5.07247463768116e-05,1.2946123641304115e-05,0.0004914153518133856
282.393,29.34,0.005081347826086956,5.0813478260869557e-05,1.1030083442029813e-05,0.0004914153518133856
282.647,21.14,0.0036037572463768117,3.6037572463768115e-05,8.84416013224704e-06,0.0004914153518133856
282.901,20.139,0.0033601483695652173,3.360148369565217e-05,9.18305307065201e-06,0.0004914153518133856
283.156,22.539,0.0038422461956521743,3.842246195652174e-05,8.725266965580365e-06,0.0004914153518133856
