Wavelength (nm),Raw count,Irradiance (W/m^2/nm),,W/m^2,Total Power
250.093,11.203,0.0016012983695652173,1.6012983695652172e-05,3.1980070163045877e-06,0.0006236175617191366
250.347,6.202,0.0009168173913043479,9.168173913043478e-06,1.849275989130367e-06,0.0006236175617191366
250.601,3.802,0.0005393054347826087,5.3930543478260864e-06,2.1907872717390497e-06,0.0006236175617191366
250.855,8.202,0.0011857239130434784,1.1857239130434782e-05,2.7475442282610766e-06,0.0006236175617191366
251.109,6.402,0.000977696739130435,9.776967391304349e-06,2.2670273043477435e-06,0.0006236175617191366
251.363,5.402,0.0008073641304347827,8.073641304347827e-06,1.7140196086955896e-06,0.0006236175617191366
251.617,3.602,0.0005422576086956522,5.422576086956522e-06,1.7433518478262502e-06,0.0006236175617191366
251.872,5.602,0.0008250771739130435,8.250771739130435e-06,2.4496546847825186e-06,0.0006236175617191366
252.126,7.202,0.0011037847826086957,1.1037847826086957e-05,3.699805413043342e-06,0.0006236175617191366
252.38,11.402,0.0018094478260869563,1.809447826086956e-05,5.38182516304328e-06,0.0006236175617191366
252.634,14.601,0.002428209782608696,2.428209782608696e-05,5.760974690217824e-06,0.0006236175617191366
252.888,12.801,0.002107990760869565,2.107990760869565e-05,4.3822095434781e-06,0.0006236175617191366
253.142,7.601,0.0013425679347826085,1.3425679347826086e-05,3.795390858695513e-06,0.0006236175617191366
253.396,9.801,0.0016459288043478263,1.6459288043478263e-05,5.141314771739517e-06,0.0006236175617191366
253.65,13.601,0.002402350543478261,2.4023505434782606e-05,5.576014374999795e-06,0.0006236175617191366
253.904,11.801,0.001988211956521739,1.988211956521739e-05,6.056693478260761e-06,0.0006236175617191366
254.159,15.401,0.0027621358695652173,2.7621358695652172e-05,6.823529853261382e-06,0.0006236175617191366
254.413,14.601,0.0026107222826086958,2.6107222826086957e-05,5.835420157608482e-06,0.0006236175617191366
254.667,10.801,0.001984096739130435,1.9840967391304348e-05,4.472435298912964e-06,0.0006236175617191366
254.922,8.6,0.001523695652173913,1.523695652173913e-05,4.8364913043476486e-06,0.0006236175617191366
255.176,12.4,0.0022845652173913047,2.2845652173913048e-05,6.060546195652742e-06,0.0006236175617191366
255.431,13.4,0.002468804347826087,2.4688043478260873e-05,7.202832608695388e-06,0.0006236175617191366
255.685,16.6,0.0032027173913043478,3.2027173913043475e-05,7.95862065217362e-06,0.0006236175617191366
255.939,16.2,0.00306391304347826,3.06391304347826e-05,7.242554347826764e-06,0.0006236175617191366
256.194,13.6,0.002616521739130435,2.616521739130435e-05,4.740136956521035e-06,0.0006236175617191366
256.448,5.8,0.0011158695652173914,1.1158695652173914e-05,1.6690836956522995e-06,0.0006236175617191366
256.702,1.0,0.0001983695652173913,1.983695652173913e-06,-1.388204755434758e-06,0.0006236175617191366
256.957,-6.401,-0.0012871576086956522,-1.2871576086956523e-05,-5.7497441630439114e-06,0.0006236175617191366
257.211,-16.201,-0.0032402,-3.2402e-05,-9.527722907607279e-06,0.0006236175617191366
257.465,-20.801,-0.00426194402173913,-4.2619440217391294e-05,-8.630605964675682e-06,0.0006236175617191366
257.72,-12.401,-0.0025071586956521737,-2.5071586956521735e-05,-6.024461038042582e-06,0.0006236175617191366
257.974,-10.801,-0.002236511413043478,-2.236511413043478e-05,-5.00901459239168e-06,0.0006236175617191366
258.228,-8.401,-0.0017075945652173911,-1.707594565217391e-05,-1.6810403804347522e-06,0.0006236175617191366
258.483,1.799,0.00038913152173913044,3.891315217391304e-06,3.2547905108698103e-06,0.0006236175617191366
258.737,9.999,0.002173695652173913,2.1736956521739134e-05,6.439026480978147e-06,0.0006236175617191366
258.992,13.199,0.002876521195652174,2.876521195652174e-05,9.187476103259504e-06,0.0006236175617191366
259.246,19.798,0.00435771195652174,4.357711956521739e-05,1.3241505913044473e-05,0.0006236175617191366
259.5,26.398,0.006068670652173913,6.068670652173913e-05,1.5542162690217114e-05,0.0006236175617191366
259.755,25.598,0.006121260869565217,6.121260869565216e-05,1.4139557423914105e-05,0.0006236175617191366
260.009,21.398,0.005012248913043478,5.012248913043478e-05,1.0433116260868015e-05,0.0006236175617191366
260.263,13.998,0.003202803260869565,3.202803260869565e-05,6.5433083152172736e-06,0.0006236175617191366
260.518,8.198,0.001929203260869565,1.929203260869565e-05,4.491150695652511e-06,0.0006236175617191366
260.772,6.798,0.0016071358695652173,1.6071358695652173e-05,4.817190065217754e-06,0.0006236175617191366
261.026,8.998,0.0021859271739130435,2.1859271739130433e-05,7.896981358695511e-06,0.0006236175617191366
261.281,16.798,0.004007783695652174,4.0077836956521744e-05,1.120968605978345e-05,0.0006236175617191366
261.535,20.197,0.004818740760869565,4.818740760869564e-05,1.1627326940215663e-05,0.0006236175617191366
261.789,17.197,0.0043366347826086955,4.3366347826086955e-05,1.2120950339673696e-05,0.0006236175617191366
262.044,20.197,0.005169992934782608,5.169992934782608e-05,1.173326978804436e-05,0.0006236175617191366
262.298,15.997,0.0040688021739130435,4.0688021739130435e-05,6.695905720108575e-06,0.0006236175617191366
262.553,4.397,0.0011828885869565218,1.1828885869565216e-05,1.4351538369566296e-06,0.0006236175617191366
262.807,-0.203,-5.2846195652173914e-05,-5.284619565217391e-07,1.009718331521589e-06,0.0006236175617191366
263.061,3.197,0.0008479,8.479e-06,8.742418614130278e-07,0.0006236175617191366
263.316,-0.603,-0.00016222010869565217,-1.6222010869565217e-06,1.6379065760870798e-06,0.0006236175617191366
263.57,5.397,0.0014519103260869567,1.4519103260869566e-05,6.607466961957017e-06,0.0006236175617191366
