Wavelength (nm),Raw count,Irradiance (W/m^2/nm),,W/m^2,Total Power
250.093,26.235,0.0012499646739130435,1.2499646739130434e-05,3.1416222373190767e-06,0.00032802114377031055
250.347,24.835,0.001223753623188406,1.223753623188406e-05,2.8413155525361277e-06,0.00032802114377031055
250.601,21.435,0.0010135027173913042,1.0135027173913041e-05,2.696873759057872e-06,0.00032802114377031055
250.855,23.035,0.001110019927536232,1.110019927536232e-05,2.666205099637882e-06,0.00032802114377031055
251.109,19.435,0.0009893541666666668,9.893541666666668e-06,1.8028156159419628e-06,0.00032802114377031055
251.363,8.635,0.0004301856884057971,4.30185688405797e-06,3.06392101449264e-07,0.00032802114377031055
251.617,-3.765,-0.00018893206521739133,-1.8893206521739132e-06,-4.890779891304807e-07,0.00032802114377031055
251.872,-3.965,-0.00019465851449275364,-1.9465851449275363e-06,-3.7470636775360945e-07,0.00032802114377031055
252.126,-1.965,-0.0001003858695652174,-1.0038586956521739e-06,1.5702215579709566e-07,0.00032802114377031055
252.38,4.235,0.00022402536231884058,2.2402536231884055e-06,1.427491503623136e-06,0.00032802114377031055
252.634,16.235,0.0008999836956521739,8.999836956521739e-06,3.264592978261114e-06,0.00032802114377031055
252.888,30.434,0.001670561956521739,1.6705619565217388e-05,4.711320840579537e-06,0.00032802114377031055
253.142,34.634,0.002039139492753623,2.0391394927536232e-05,4.340997123188247e-06,0.00032802114377031055
253.396,24.634,0.0013789684782608697,1.3789684782608696e-05,2.9202996594205095e-06,0.00032802114377031055
253.65,15.634,0.0009204800724637682,9.204800724637681e-06,1.6992208876810971e-06,0.00032802114377031055
253.904,7.434,0.00041748913043478266,4.174891304347827e-06,5.95868478260859e-07,0.00032802114377031055
254.159,0.834,4.9858695652173916e-05,4.985869565217391e-07,4.5950210507249836e-07,0.00032802114377031055
254.413,5.234,0.0003119539855072464,3.119539855072464e-06,1.7985864239129774e-06,0.00032802114377031055
254.667,18.034,0.0011042557971014492,1.1042557971014494e-05,3.2778993478260285e-06,0.00032802114377031055
254.922,24.834,0.0014666456521739131,1.4666456521739131e-05,3.5655733152172606e-06,0.00032802114377031055
255.176,21.834,0.0013408923913043479,1.3408923913043478e-05,3.1529717527176865e-06,0.00032802114377031055
255.431,18.433,0.0011320266304347827,1.1320266304347826e-05,2.6818401340578727e-06,0.00032802114377031055
255.685,15.233,0.0009796585144927535,9.796585144927535e-06,1.9513823786231167e-06,0.00032802114377031055
255.939,8.833,0.0005568630434782609,5.568630434782608e-06,1.1705899728261965e-06,0.00032802114377031055
256.194,5.633,0.00036124673913043477,3.612467391304348e-06,1.1619036739128706e-06,0.00032802114377031055
256.448,8.633,0.0005536380434782608,5.536380434782608e-06,2.2174676250001666e-06,0.00032802114377031055
256.702,18.033,0.001192399456521739,1.1923994565217391e-05,2.7879665081521236e-06,0.00032802114377031055
256.957,14.833,0.0009942409420289854,9.942409420289852e-06,2.129079996376971e-06,0.00032802114377031055
257.211,10.233,0.0006822,6.822e-06,1.9447990851446385e-06,0.00032802114377031055
257.465,12.433,0.0008491378623188406,8.491378623188405e-06,2.546192785326609e-06,0.00032802114377031055
257.72,17.033,0.0011478760869565218,1.1478760869565216e-05,2.6879018532604702e-06,0.00032802114377031055
257.974,14.033,0.0009685820652173913,9.685820652173913e-06,2.988213599637905e-06,0.00032802114377031055
258.228,20.432,0.0013843420289855071,1.384342028985507e-05,4.48908652173905e-06,0.00032802114377031055
258.483,29.632,0.0021365101449275364,2.1365101449275365e-05,5.753269333333766e-06,0.00032802114377031055
258.737,33.032,0.002393623188405797,2.3936231884057968e-05,6.2966133695651045e-06,0.00032802114377031055
258.992,35.032,0.002544897101449275,2.544897101449275e-05,6.403098884057019e-06,0.00032802114377031055
259.246,34.032,0.002496913043478261,2.4969130434782608e-05,5.860243826087397e-06,0.00032802114377031055
259.5,27.632,0.0021174521739130434,2.1174521739130433e-05,4.69496021739122e-06,0.00032802114377031055
259.755,19.632,0.0015648695652173913,1.564869565217391e-05,3.4383114927538813e-06,0.00032802114377031055
260.009,14.632,0.0011424623188405797,1.1424623188405796e-05,2.538864362318463e-06,0.00032802114377031055
260.263,11.232,0.0008566434782608695,8.566434782608695e-06,1.8955295652173574e-06,0.00032802114377031055
260.518,8.032,0.0006300463768115942,6.300463768115942e-06,1.9642070778986985e-06,0.00032802114377031055
